movie_id	title	rating	votes	gross	countries
2049050	"Alice Doesn't Live Here Anymore"	7.4	12951	"$17,600,000 (USA)"	USA
2049249	"Alice's Restaurant"	6.3	2937	"$6,300,000 (USA)"	USA
2049433	"Alien Nation"	6.3	9838	"$25,216,243 (USA)"	USA
2049523	"Alien: Resurrection"	6.3	134328	"$47,795,658 (USA)"	USA
2049553	Aliens	8.4	382464	"$85,160,248 (USA)"	USA
2049626	Alien³	6.4	162672	"$55,473,600 (USA)"	USA
2049781	Alive	7.0	32663	"$36,733,909 (USA)"	USA
2050278	"All Dogs Go to Heaven"	6.6	20745	"$27,100,027 (USA)"	USA
2050279	"All Dogs Go to Heaven 2"	5.3	3315	"$8,620,500 (USA)"	USA
2050518	"All I Want for Christmas"	6.0	2527	"$14,812,000 (USA)"	USA
2050832	"All Night Long"	6.0	1190	"$4,454,295 (USA)"	USA
2050868	"All of Me"	6.7	11466	"$36,403,064 (USA)"	USA
2050994	"All Quiet on the Western Front"	8.1	42257	"$3,270,000 (USA)"	USA
2051191	"All That Jazz"	7.8	16108	"$37,823,676 (USA)"	USA
2051333	"All the President's Men"	8.0	60714	"$70,600,000 (USA)"	USA
2051357	"All the Right Moves"	5.9	10508	"$17,233,166 (USA)"	USA
2051896	"Allan Quatermain and the Lost City of Gold"	4.3	6197	"$3,751,699 (USA)"	USA
2052868	"Almost an Angel"	5.4	2692	"$9,100,618 (USA)"	USA
2052902	"Almost Famous"	8.0	175242	"$32,534,850 (USA)"	USA
2053289	"Alone in the Dark"	2.3	34885	"$5,178,569 (USA)"	USA
2053407	"Along Came Polly"	5.9	93987	"$88,097,164 (USA)"	USA
2054044	"Altered States"	6.9	20218	"$19,853,892 (USA)"	USA
2054298	"Alvin and the Chipmunks"	5.3	44642	"$217,326,974 (USA)"	USA
2054305	"Alvin and the Chipmunks: Chipwrecked"	4.3	17598	"$133,110,742 (USA)"	USA
2054307	"Alvin and the Chipmunks: The Squeakquel"	4.4	24279	"$219,614,612 (USA)"	USA
2054328	Always	6.4	19339	"$43,858,790 (USA)"	USA
